source,target,value
2566030810,16711026,2/19/16 14:29
4564784477,28785486,2/19/16 14:29
534308567,14246055,2/19/16 14:29
471038551,2905099385,2/19/16 14:29
1112486646,17167572,2/19/16 14:29
3677594795,16067067,2/19/16 14:29
3633874334,3022045469,2/19/16 14:29
147725370,1026894067,2/19/16 14:29
4698002720,4926490942,2/19/16 14:29
24581337,18791763,2/19/16 14:29
2646601135,77474447,2/19/16 14:29
148886933,28785486,2/19/16 14:29
3164614729,2908170952,2/19/16 14:29
1592307180,29465136,2/19/16 14:29
2863830927,261330050,2/19/16 14:29
40288453,261330050,2/19/16 14:29
476202079,41410702,2/19/16 14:29
974097816,4896954832,2/19/16 14:29
2618172665,1187647735,2/19/16 14:29
3929416864,95518830,2/19/16 14:29
383367119,914061,2/19/16 14:29
164944420,42782290,2/19/16 14:29
22196150,30726383,2/19/16 14:29
3677594795,3387188439,2/19/16 14:29
39647596,7827962,2/19/16 14:29
2784334968,170296342,2/19/16 14:29
2940915235,2679989365,2/19/16 14:29
867446070,1187647735,2/19/16 14:29
798442806,2683433155,2/19/16 14:29
286196153,4765968550,2/19/16 14:29
3248096857,16031927,2/19/16 14:29
958853852,18857913,2/19/16 14:29
3072356408,16031927,2/19/16 14:29
16373001,28785486,2/19/16 14:29
2478847982,235437961,2/19/16 14:29
2798770069,18791763,2/19/16 14:29
2324693918,2930053749,2/19/16 14:29
4039099932,619299246,2/19/16 14:29
16887628,202249140,2/19/16 14:29
2941035967,28785486,2/19/16 14:29
95816788,16193222,2/19/16 14:29
3153097690,262240503,2/19/16 14:29
261313792,2832807293,2/19/16 14:29
26582572,47448886,2/19/16 14:29
102574663,6730222,2/19/16 14:29
1859188802,30886757,2/19/16 14:29
7.00686E+17,109361219,2/19/16 14:29
2601852176,517912413,2/19/16 14:29
283286600,33884545,2/19/16 14:29
3411958019,5695632,2/19/16 14:29
1208491297,1541028804,2/19/16 14:29
1372786812,738680648,2/19/16 14:29
7.00687E+17,109361219,2/19/16 14:29
3633874334,25073877,2/19/16 14:29
2413665181,1630896181,2/19/16 14:29
983289642,274355165,2/19/16 14:29
2920659436,1384491121,2/19/16 14:29
27463702,17980523,2/19/16 14:29
3633874334,25073877,2/19/16 14:29
453537985,549600704,2/19/16 14:29
28619562,17072206,2/19/16 14:29
3723481395,3946915763,2/19/16 14:29
148297969,4204344279,2/19/16 14:29
305877754,28785486,2/19/16 14:29
419109554,16973333,2/19/16 14:29
4858727007,6160792,2/19/16 14:29
27119461,2683480096,2/19/16 14:29
2771588954,28785486,2/19/16 14:29
259052846,4774532193,2/19/16 14:29
23699402,15741036,2/19/16 14:29
3739067240,17980523,2/19/16 14:29
3633874334,25073877,2/19/16 14:29
559242195,2274924564,2/19/16 14:29
2893768217,556736472,2/19/16 14:29
596013209,2908170952,2/19/16 14:29
590238067,351951741,2/19/16 14:29
16412658,14293310,2/19/16 14:29
1358415961,852667086,2/19/16 14:29
2340833516,2832807293,2/19/16 14:29
2812269630,4043751910,2/19/16 14:29
2906568721,2930053749,2/19/16 14:29
4910168507,4121225056,2/19/16 14:29
148297969,4204344279,2/19/16 14:29
15589520,25073877,2/19/16 14:29
6.98959E+17,912791533,2/19/16 14:29
387862060,13374,2/19/16 14:29
224576920,2832807293,2/19/16 14:29
4314532217,16973333,2/19/16 14:29
792608634,3948421274,2/19/16 14:29
3327685886,25073877,2/19/16 14:29
163730778,147589125,2/19/16 14:29
3003765995,182265955,2/19/16 14:29
1358415961,28785486,2/19/16 14:29
4857106433,3314758074,2/19/16 14:29
357207919,5135521,2/19/16 14:29
631704732,190298721,2/19/16 14:30
872228310,807095,2/19/16 14:30
1101063187,29465136,2/19/16 14:30
268197099,1541028804,2/19/16 14:30
2519690555,894292836,2/19/16 14:30
377642578,4774532193,2/19/16 14:30
339706852,18828839,2/19/16 14:30
3532804813,17072206,2/19/16 14:30
3376927462,2500721814,2/19/16 14:30
36163159,133945128,2/19/16 14:30
2177290331,4774532193,2/19/16 14:30
2712745682,2274924564,2/19/16 14:30
11335322,161163311,2/19/16 14:30
4111631055,347627434,2/19/16 14:30
757345172,474464413,2/19/16 14:30
214187580,16193222,2/19/16 14:30
48904521,322755208,2/19/16 14:30
3013697938,914061,2/19/16 14:30
1036036520,2274924564,2/19/16 14:30
973204208,55355654,2/19/16 14:30
37194117,7702542,2/19/16 14:30
4004761758,18857913,2/19/16 14:30
153677638,258025056,2/19/16 14:30
302004290,620571475,2/19/16 14:30
1388495173,2274924564,2/19/16 14:30
193182286,145773567,2/19/16 14:30
2998535437,2832807293,2/19/16 14:30
2914182944,25259962,2/19/16 14:30
486686387,18791763,2/19/16 14:30
2363933231,413274241,2/19/16 14:30
198113600,1187647735,2/19/16 14:30
2802845137,17980523,2/19/16 14:30
4309705882,548078410,2/19/16 14:30
924043278,24923175,2/19/16 14:30
110350272,37684821,2/19/16 14:30
36163159,244218738,2/19/16 14:30
409731864,145773567,2/19/16 14:30
605678087,18190546,2/19/16 14:30
825070002,109854452,2/19/16 14:30
232949480,474464413,2/19/16 14:30
2802845137,3622904116,2/19/16 14:30
394886459,28785486,2/19/16 14:30
3813607223,2832807293,2/19/16 14:30
2373857028,16898332,2/19/16 14:30
1290754770,2679989365,2/19/16 14:30
536081977,149249831,2/19/16 14:30
4923902991,28785486,2/19/16 14:30
24581337,635004482,2/19/16 14:30
2256467520,19750789,2/19/16 14:30
2834264865,2930053749,2/19/16 14:30
3633874334,620571475,2/19/16 14:30
270630789,25073877,2/19/16 14:30
2771588954,261330050,2/19/16 14:30
3587411003,105165371,2/19/16 14:30
136655165,4207961,2/19/16 14:30
156856363,14071538,2/19/16 14:30
3633874334,620571475,2/19/16 14:30
962069820,1129762164,2/19/16 14:30
2762176673,2752643243,2/19/16 14:30
29054598,3314758074,2/19/16 14:30
277689953,22084427,2/19/16 14:30
117466682,170296342,2/19/16 14:30
346334421,18622869,2/19/16 14:30
820866582,29465136,2/19/16 14:30
4183466843,2208095516,2/19/16 14:30
69461475,18857913,2/19/16 14:30
3404297363,16711026,2/19/16 14:30
425826223,18791763,2/19/16 14:30
2956374878,351951741,2/19/16 14:30
2874411984,3266856037,2/19/16 14:30
984724920,14293310,2/19/16 14:30
602954914,2908170952,2/19/16 14:30
362063667,2679989365,2/19/16 14:30
136655165,326255267,2/19/16 14:30
4901489212,3686488635,2/19/16 14:30
4153268175,25073877,2/19/16 14:30
310800868,407261533,2/19/16 14:30
4123117883,4263893061,2/19/16 14:30
